,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,line_original,line_index_in_song,line_classified,line_label,line_score,song_name,artist_name,tsne_x_combined,tsne_y_combined
33,33,33,33,33,"I try to be a tough dad, but you be makin me laugh",34, I try to be a tough dad but you be making me laugh,POSITIVE,0.9988,Just the Two of Us,Will Smith,23.979290008544922,24.92511940002441
34,34,34,34,34,"Crazy joy, when I see the eyes of my baby boy",35, crazy joy when I see the eyes of my baby boy,POSITIVE,0.9999,Just the Two of Us,Will Smith,55.381309509277344,-26.53461837768555
35,35,35,35,35,"I pledge to you, I will always do",36, I pledge to you I will always do,POSITIVE,0.9992,Just the Two of Us,Will Smith,37.42738342285156,-43.08512878417969
36,36,36,36,36,"Everything I can, show you how to be a man",37, everything I can show you how to be a man,POSITIVE,0.9997,Just the Two of Us,Will Smith,3.2689809799194336,9.472189903259276
37,37,37,37,37,"Dignity, integrity, honor an'",38, dignity integrity honor and,POSITIVE,0.9998,Just the Two of Us,Will Smith,-46.792030334472656,94.19387817382812
38,38,38,38,38,"I don't mind if you lose, long as you came with it",39, I don't mind if you lose long as you came with it,POSITIVE,0.6585,Just the Two of Us,Will Smith,47.96879959106445,8.702165603637695
39,39,39,39,39,"An you can cry, ain't no shame in it",40, an you can cry ain't no shame in it,POSITIVE,0.9516,Just the Two of Us,Will Smith,46.69289779663086,67.85517883300781
40,40,40,40,40,It didn't work out with me an your mom,41, it didn't work out with me an your mom,NEGATIVE,0.9997,Just the Two of Us,Will Smith,41.07682800292969,21.54076194763184
41,41,41,41,41,"But yo, push come to shove, you was conceived in love",42, but yo push come to shove you was conceived in love,POSITIVE,0.8816,Just the Two of Us,Will Smith,-13.593780517578125,62.25644302368164
42,42,42,42,42,"So if the world attacks, and you slide off track",43, so if the world attacks and you slide off track,NEGATIVE,0.9971,Just the Two of Us,Will Smith,29.09425544738769,8.38034725189209
43,43,43,43,43,"Remember one fact, I got your back",44, remember one fact I got your back,NEGATIVE,0.9741,Just the Two of Us,Will Smith,14.133746147155762,37.77453994750977
44,44,44,44,44,"Just the two of us, we can make it if we try",45, just the two of us we can make it if we try,POSITIVE,0.9997,Just the Two of Us,Will Smith,-21.37131690979004,-108.76849365234376
45,45,45,45,45,"Just the two of us, (Just the two of us)",46, just the two of us just the two of us,POSITIVE,0.9479,Just the Two of Us,Will Smith,17.79669761657715,-126.26829528808594
46,46,46,46,46,"Just the two of us, building castles in the sky",47, just the two of us building castles in the sky,POSITIVE,0.9989,Just the Two of Us,Will Smith,5.628657817840576,-98.36890411376952
47,47,47,47,47,"Just the two of us, you and I",48, just the two of us you and I,POSITIVE,0.9997,Just the Two of Us,Will Smith,5.293983459472656,-122.88995361328124
48,48,48,48,48,It's a full-time job to be a good dad,49, it's a full-time job to be a good dad,POSITIVE,0.9989,Just the Two of Us,Will Smith,73.59064483642578,36.100318908691406
49,49,49,49,49,You got so much more stuff than I had,50, you got so much more stuff than I had,POSITIVE,0.9973,Just the Two of Us,Will Smith,56.75640869140625,21.26283073425293
50,50,50,50,50,I gotta study just to keep with the changin times,51, I gotta study just to keep with the changing times,POSITIVE,0.9152,Just the Two of Us,Will Smith,-15.815367698669435,-1.4251363277435305
51,51,51,51,51,101 Dalmations on your CD-ROM,52, 101 dalmations on your cd-rom,NEGATIVE,0.9601,Just the Two of Us,Will Smith,-69.1756591796875,46.21691131591797
52,52,52,52,52,See me-I'm tyin to pretend I know,53, see me I'm trying to pretend I know,NEGATIVE,0.9945,Just the Two of Us,Will Smith,-10.79694652557373,15.398880004882812
53,53,53,53,53,On my PC where that CD go,54, on my pc where that cd go,NEGATIVE,0.9854,Just the Two of Us,Will Smith,-62.20995330810547,37.8992805480957
54,54,54,54,54,"But yo, ain't nothin promised, one day I'll be gone",55, but yo ain't nothing promised one day I'll be gone,NEGATIVE,0.9844,Just the Two of Us,Will Smith,47.63569259643555,54.512489318847656
55,55,55,55,55,"Feel the strife, but trust life does go on",56, feel the strife but trust life does go on,POSITIVE,0.9953,Just the Two of Us,Will Smith,-23.725399017333984,51.19248962402344
56,56,56,56,56,"But just in case, it's my place to impart",57, but just in case it's my place to impart,POSITIVE,0.9657,Just the Two of Us,Will Smith,61.59989929199219,-1.29855477809906
57,57,57,57,57,One day some girl's gonna break your heart,58, one day some girl's gonna break your heart,POSITIVE,0.9951,Just the Two of Us,Will Smith,82.00959777832031,16.39763069152832
58,58,58,58,58,And ooh ain't no pain like from the opposite sex,59, and ooh ain't no pain like from the opposite sex,POSITIVE,0.9909,Just the Two of Us,Will Smith,35.84174728393555,61.1854362487793
59,59,59,59,59,"Gonna hurt bad, but don't take it out on the next, son",60, gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954,Just the Two of Us,Will Smith,33.552139282226555,75.6714096069336
60,60,60,60,60,Throughout life people will make you mad,61, throughout life people will make you mad,NEGATIVE,0.9937,Just the Two of Us,Will Smith,12.85398006439209,3.0345368385314937
61,61,61,61,61,Disrespect you and treat you bad,62, disrespect you and treat you bad,NEGATIVE,0.997,Just the Two of Us,Will Smith,23.325544357299805,98.0262222290039
62,62,62,62,62,Let God deal with the things they do,63, let god deal with the things they do,NEGATIVE,0.9065,Just the Two of Us,Will Smith,-39.578369140625,-12.338685035705565
63,63,63,63,63,Cause hate in your heart will consume you too,64, because hate in your heart will consume you too,NEGATIVE,0.9677,Just the Two of Us,Will Smith,22.860456466674805,-2.6110715866088867
64,64,64,64,64,"Always tell the truth, say your prayers",65, always tell the truth say your prayers,POSITIVE,0.9981,Just the Two of Us,Will Smith,-46.61748123168945,69.43453216552734
65,65,65,65,65,"Hold doors, pull out chairs, easy on the swears",66, hold doors pull out chairs easy on the swears,NEGATIVE,0.9656,Just the Two of Us,Will Smith,-25.5059757232666,69.28248596191406
66,66,66,66,66,You're living proof that dreams do come true,67, you're living proof that dreams do come true,POSITIVE,0.9996,Just the Two of Us,Will Smith,40.5452880859375,-14.097431182861328
67,67,67,67,67,I love you and I'm here for you,68, I love you and I'm here for you,POSITIVE,0.9999,Just the Two of Us,Will Smith,18.130197525024414,-18.142751693725586
68,68,68,68,68,"Just the two of us, we can make it if we try",69, just the two of us we can make it if we try,POSITIVE,0.9997,Just the Two of Us,Will Smith,-21.37131690979004,-108.76849365234376
69,69,69,69,69,"Just the two of us, (Just the two of us)",70, just the two of us just the two of us,POSITIVE,0.9479,Just the Two of Us,Will Smith,17.79669761657715,-126.26829528808594
70,70,70,70,70,"Just the two of us, building castles in the sky",71, just the two of us building castles in the sky,POSITIVE,0.9989,Just the Two of Us,Will Smith,5.628657817840576,-98.36890411376952
71,71,71,71,71,"Just the two of us, you and I",72, just the two of us you and I,POSITIVE,0.9997,Just the Two of Us,Will Smith,5.293983459472656,-122.88995361328124
72,72,72,72,72,"(This is a good song Dad, how much am I gettin paid for this?)",73, this is a good song dad how much am I getting paid for this,POSITIVE,0.9994,Just the Two of Us,Will Smith,-28.74246025085449,27.60055923461914
