,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
10,10,10,10,10,10,10,10,10,10,10,baby,baby,baby,11,3,2,Hook,2,6,20,20,20,"[8, 11, 142, 146, 150, 154, 406, 410, 414, 418, 560, 564, 568, 572, 588, 593, 598, 603, 610, 617]","[('baby', 'NN')]",N,POSITIVE,0.9969,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9969,156,0.8432432432432433,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-7.714382171630857,-7.060944557189941
11,11,11,11,11,11,11,11,11,11,11,Alright,Alright,alright,12,4,3,Verse 1,1,1,1,1,1,[12],"[('alright', 'NN')]",N,POSITIVE,0.9996,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6307692307692307,0.9996,182,0.9837837837837838,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-7.304441452026367,-16.050928115844727
12,12,12,12,12,12,12,12,12,12,12,"stop,",stop,stop,13,4,3,Verse 1,1,2,4,4,4,"[13, 42, 245, 257]","[('stop', 'NN')]",N,NEGATIVE,0.9995,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6307692307692307,-0.9995,2,0.010810810810810813,neg_word_pos_line,Ice Ice Baby,Vanilla Ice,-14.341605186462402,-1.2074974775314329
13,13,13,13,13,13,13,13,13,13,13,collaborate,collaborate,collaborate,14,4,3,Verse 1,1,3,1,1,1,[14],"[('collaborate', 'NN')]",N,POSITIVE,0.9986,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6307692307692307,0.9986,172,0.9297297297297298,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,3.252908945083618,8.173418998718263
14,14,14,14,14,14,14,14,14,14,14,and,and,and,15,4,3,Verse 1,1,4,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6307692307692307,0.9708,90,0.4864864864864865,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,13.185065269470215,-5.214746952056885
15,15,15,15,15,15,15,15,15,15,15,listen,listen,listen,16,4,3,Verse 1,1,5,1,1,1,[16],"[('listen', 'NN')]",N,POSITIVE,0.9988,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6307692307692307,0.9988,174,0.9405405405405406,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-11.982244491577148,-2.244441270828247
16,16,16,16,16,16,16,16,16,16,16,Ice,Ice,ice,17,5,3,Verse 1,2,6,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9661,87,0.4702702702702703,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.488225936889648,10.734026908874512
17,17,17,17,17,17,17,17,17,17,17,is,is,is,18,5,3,Verse 1,2,7,4,4,4,"[18, 101, 160, 474]","[('is', 'VBZ')]",V,POSITIVE,0.9275,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9275,76,0.4108108108108108,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,17.051544189453125,0.9187014102935792
18,18,18,18,18,18,18,18,18,18,18,back,back,back,19,5,3,Verse 1,2,8,1,1,1,[19],"[('back', 'RB')]",ADV,POSITIVE,0.9845,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9845,107,0.5783783783783784,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-9.248940467834473,-8.346194267272951
19,19,19,19,19,19,19,19,19,19,19,with,with,with,20,5,3,Verse 1,2,9,7,7,7,"[20, 162, 207, 225, 299, 304, 489]","[('with', 'IN')]",PREP,POSITIVE,0.9826,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9826,103,0.5567567567567567,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,12.464055061340332,4.652782917022705
20,20,20,20,20,20,20,20,20,20,20,a,a,a,21,5,3,Verse 1,2,10,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9873,114,0.6162162162162163,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,14.46420669555664,-0.8100928068161011
21,21,21,21,21,21,21,21,21,21,21,brand,brand,brand,22,5,3,Verse 1,2,11,1,1,1,[22],"[('brand', 'NN')]",N,POSITIVE,0.9971,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9971,158,0.8540540540540541,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,2.093332529067993,6.541534900665282
22,22,22,22,22,22,22,22,22,22,22,new,new,new,23,5,3,Verse 1,2,12,1,1,1,[23],"[('new', 'JJ')]",ADJ,POSITIVE,0.9986,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9986,172,0.9297297297297298,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-2.590623140335083,11.811893463134766
23,23,23,23,23,23,23,23,23,23,23,invention,invention,invention,24,5,3,Verse 1,2,13,1,1,1,[24],"[('invention', 'NN')]",N,POSITIVE,0.9997,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,61,0.9384615384615383,0.9997,183,0.9891891891891892,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,3.614645481109618,9.723204612731934
24,24,24,24,24,24,24,24,24,24,24,Something,Something,something,25,6,3,Verse 1,3,14,1,1,1,[25],"[('something', 'NN')]",N,POSITIVE,0.9991,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9991,177,0.9567567567567568,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,7.517294406890869,-5.761857986450195
25,25,25,25,25,25,25,25,25,25,25,grabs,grabs,grabs,26,6,3,Verse 1,3,15,1,1,1,[26],"[('grabs', 'NNS')]",N,POSITIVE,0.9936,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9936,136,0.7351351351351352,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-3.838643789291382,-1.779472589492798
26,26,26,26,26,26,26,26,26,26,26,a,a,a,27,6,3,Verse 1,3,16,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9873,114,0.6162162162162163,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,14.46420669555664,-0.8100928068161011
27,27,27,27,27,27,27,27,27,27,27,hold,hold,hold,28,6,3,Verse 1,3,17,1,1,1,[28],"[('hold', 'NN')]",N,POSITIVE,0.9987,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9987,173,0.9351351351351352,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-16.662439346313473,-0.8945366740226746
28,28,28,28,28,28,28,28,28,28,28,of,of,of,29,6,3,Verse 1,3,18,5,5,5,"[29, 186, 321, 477, 580]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9193,75,0.40540540540540543,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,11.757411003112793,3.9889528751373287
29,29,29,29,29,29,29,29,29,29,29,me,me,me,30,6,3,Verse 1,3,19,2,2,2,"[30, 379]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9947,142,0.7675675675675676,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-15.489153861999512,-10.019376754760742
30,30,30,30,30,30,30,30,30,30,30,tightly,tightly,tightly,31,6,3,Verse 1,3,20,1,1,1,[31],"[('tightly', 'RB')]",ADV,POSITIVE,0.9978,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,54,0.8307692307692308,0.9978,164,0.8864864864864865,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-2.4811723232269287,1.6468446254730225
31,31,31,31,31,31,31,31,31,31,31,Flow,Flow,flow,32,7,3,Verse 1,4,21,1,1,1,[32],"[('flow', 'NN')]",N,POSITIVE,0.9997,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9997,183,0.9891891891891892,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,2.098684072494507,11.07577896118164
32,32,32,32,32,32,32,32,32,32,32,like,like,like,33,7,3,Verse 1,4,22,9,9,9,"[33, 61, 72, 85, 183, 327, 458, 497, 501]","[('like', 'IN')]",PREP,POSITIVE,0.9911,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9911,125,0.6756756756756757,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,10.013649940490724,-8.936087608337402
33,33,33,33,33,33,33,33,33,33,33,a,a,a,34,7,3,Verse 1,4,23,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9873,114,0.6162162162162163,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,14.46420669555664,-0.8100928068161011
34,34,34,34,34,34,34,34,34,34,34,harpoon,harpoon,harpoon,35,7,3,Verse 1,4,24,1,1,1,[35],"[('harpoon', 'NN')]",N,NEGATIVE,0.7385,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,-0.7385,50,0.2702702702702703,neg_word_pos_line,Ice Ice Baby,Vanilla Ice,4.889842987060547,21.261966705322266
35,35,35,35,35,35,35,35,35,35,35,daily,daily,daily,36,7,3,Verse 1,4,25,1,1,1,[36],"[('daily', 'JJ')]",ADJ,POSITIVE,0.9933,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9933,133,0.7189189189189189,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,8.350531578063965,11.617703437805176
36,36,36,36,36,36,36,36,36,36,36,and,and,and,37,7,3,Verse 1,4,26,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9708,90,0.4864864864864865,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,13.185065269470215,-5.214746952056885
37,37,37,37,37,37,37,37,37,37,37,nightly,nightly,nightly,38,7,3,Verse 1,4,27,1,1,1,[38],"[('nightly', 'RB')]",ADV,POSITIVE,0.9889,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,58,0.8923076923076924,0.9889,118,0.6378378378378379,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,8.401959419250487,11.422849655151367
38,38,38,38,38,38,38,38,38,38,38,"""Will",Will,will,39,8,3,Verse 1,5,28,1,1,1,[39],"[('will', 'MD')]",V,POSITIVE,0.9997,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.9997,183,0.9891891891891892,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,-15.346449851989744,11.143723487854004
39,39,39,39,39,39,39,39,39,39,39,it,it,it,40,8,3,Verse 1,5,29,13,13,13,"[5, 40, 105, 108, 130, 139, 394, 403, 437, 482, 518, 548, 557]","[('it', 'PRP')]",PRON,POSITIVE,0.9927,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.9927,130,0.7027027027027027,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,9.89292812347412,-5.348041534423828
40,40,40,40,40,40,40,40,40,40,40,ever,ever,ever,41,8,3,Verse 1,5,30,1,1,1,[41],"[('ever', 'RB')]",ADV,POSITIVE,0.997,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.997,157,0.8486486486486486,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,10.31572437286377,-16.449951171875
41,41,41,41,41,41,41,41,41,41,41,"stop?""",stop,stop,42,8,3,Verse 1,5,31,4,4,4,"[13, 42, 245, 257]","[('stop', 'NN')]",N,NEGATIVE,0.9995,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,-0.9995,2,0.010810810810810813,neg_word_neg_line,Ice Ice Baby,Vanilla Ice,-14.341605186462402,-1.2074974775314329
42,42,42,42,42,42,42,42,42,42,42,Yo,Yo,yo,43,8,3,Verse 1,5,32,7,7,7,"[1, 43, 127, 273, 391, 545, 575]","[('yo', 'NN')]",N,POSITIVE,0.9966,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.9966,154,0.8324324324324325,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,-10.781905174255373,-11.759445190429688
43,43,43,43,43,43,43,43,43,43,43,I,I,I,44,8,3,Verse 1,5,33,12,12,12,"[44, 57, 91, 196, 200, 247, 258, 275, 330, 335, 375, 536]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.9797,99,0.5351351351351351,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,10.167547225952148,-4.051788806915283
44,44,44,44,44,44,44,44,44,44,44,don't,don't,don't,45,8,3,Verse 1,5,34,2,2,2,"[45, 119]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,-0.9883,27,0.14594594594594595,neg_word_neg_line,Ice Ice Baby,Vanilla Ice,17.741718292236328,-18.112266540527344
45,45,45,45,45,45,45,45,45,45,45,know,know,know,46,8,3,Verse 1,5,35,3,3,3,"[46, 373, 436]","[('know', 'VB')]",V,POSITIVE,0.9948,"""Will it ever stop?"" Yo I don't know", will it ever stop yo I don't know,NEGATIVE,0.9642,-0.9642,24,0.3692307692307693,0.9948,143,0.772972972972973,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,-14.030466079711914,5.764551162719728
46,46,46,46,46,46,46,46,46,46,46,Turn,Turn,turn,47,9,3,Verse 1,6,36,1,1,1,[47],"[('turn', 'NN')]",N,POSITIVE,0.9918,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9918,129,0.6972972972972973,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-20.67268943786621,0.13375157117843628
47,47,47,47,47,47,47,47,47,47,47,off,off,off,48,9,3,Verse 1,6,37,1,1,1,[48],"[('off', 'IN')]",PREP,NEGATIVE,0.9975,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,-0.9975,15,0.08108108108108109,neg_word_pos_line,Ice Ice Baby,Vanilla Ice,-10.469531059265137,-7.5925421714782715
48,48,48,48,48,48,48,48,48,48,48,the,the,the,49,9,3,Verse 1,6,38,34,34,34,"[49, 55, 77, 99, 115, 117, 133, 158, 163, 168, 174, 177, 226, 234, 255, 266, 269, 309, 312, 314, 341, 351, 356, 365, 370, 383, 397, 429, 443, 453, 494, 520, 533, 551]","[('the', 'DT')]",DET,POSITIVE,0.9636,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9636,84,0.4540540540540541,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-0.7009652256965637,1.4191086292266846
49,49,49,49,49,49,49,49,49,49,49,lights,lights,lights,50,9,3,Verse 1,6,39,1,1,1,[50],"[('lights', 'NNS')]",N,POSITIVE,0.9985,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9985,171,0.9243243243243244,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.227397441864014,9.01927089691162
50,50,50,50,50,50,50,50,50,50,50,and,and,and,51,9,3,Verse 1,6,40,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9708,90,0.4864864864864865,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,13.185065269470215,-5.214746952056885
51,51,51,51,51,51,51,51,51,51,51,I'll,I'll,I'll,52,9,3,Verse 1,6,41,4,4,4,"[52, 128, 392, 546]","[('I', 'PRP'), (""'ll"", 'MD')]",MULT,POSITIVE,0.9997,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9997,183,0.9891891891891892,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,16.214532852172848,-20.71837043762207
52,52,52,52,52,52,52,52,52,52,52,glow,glow,glow,53,9,3,Verse 1,6,42,1,1,1,[53],"[('glow', 'NN')]",N,POSITIVE,0.9997,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,64,0.9846153846153848,0.9997,183,0.9891891891891892,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.709790229797363,7.816511631011963
53,53,53,53,53,53,53,53,53,53,53,To,To,to,54,10,3,Verse 1,7,43,14,14,14,"[54, 173, 176, 218, 240, 254, 265, 277, 354, 361, 447, 487, 528, 583]","[('to', 'TO')]",OTH,POSITIVE,0.9653,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.2461538461538461,0.9653,86,0.4648648648648649,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,-12.766663551330565,8.213215827941895
54,54,54,54,54,54,54,54,54,54,54,the,the,the,55,10,3,Verse 1,7,44,34,34,34,"[49, 55, 77, 99, 115, 117, 133, 158, 163, 168, 174, 177, 226, 234, 255, 266, 269, 309, 312, 314, 341, 351, 356, 365, 370, 383, 397, 429, 443, 453, 494, 520, 533, 551]","[('the', 'DT')]",DET,POSITIVE,0.9636,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.2461538461538461,0.9636,84,0.4540540540540541,pos_word_neg_line,Ice Ice Baby,Vanilla Ice,-0.7009652256965637,1.4191086292266846
55,55,55,55,55,55,55,55,55,55,55,"extreme,",extreme,extreme,56,10,3,Verse 1,7,45,1,1,1,[56],"[('extreme', 'NN')]",N,NEGATIVE,0.9097,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.2461538461538461,-0.9097,42,0.22702702702702704,neg_word_neg_line,Ice Ice Baby,Vanilla Ice,3.903055429458618,5.583869934082031
