,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
10,baby,baby,baby,11,3,2,Hook,2,6,20,20,20,"[8, 11, 142, 146, 150, 154, 406, 410, 414, 418, 560, 564, 568, 572, 588, 593, 598, 603, 610, 617]","[('baby', 'NN')]",N,POSITIVE,0.9969,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9969,156,0.8432432432432433,-16.57496,2.407135
11,Alright,Alright,alright,12,4,3,Verse 1,1,1,1,1,1,[12],"[('alright', 'NN')]",N,POSITIVE,0.9996,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6119402985074627,0.9996,182,0.9837837837837838,-8.926067,5.7472353
12,"stop,",stop,stop,13,4,3,Verse 1,1,2,2,2,2,"[13, 257]","[('stop', 'NN')]",N,NEGATIVE,0.9995,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6119402985074627,-0.9995,2,0.010810810810810811,-5.197971,6.745398
13,collaborate,collaborate,collaborate,14,4,3,Verse 1,1,3,1,1,1,[14],"[('collaborate', 'NN')]",N,POSITIVE,0.9986,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6119402985074627,0.9986,172,0.9297297297297298,-9.313308,-3.9817955
14,and,and,and,15,4,3,Verse 1,1,4,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6119402985074627,0.9708,89,0.4810810810810811,27.487516,-2.5039196
15,listen,listen,listen,16,4,3,Verse 1,1,5,1,1,1,[16],"[('listen', 'NN')]",N,POSITIVE,0.9988,"Alright stop, collaborate and listen", alright stop collaborate and listen,POSITIVE,0.9092,0.9092,41,0.6119402985074627,0.9988,174,0.9405405405405406,-3.8635736,5.9416327
16,Ice,Ice,ice,17,5,3,Verse 1,2,6,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9661,86,0.4648648648648649,-9.068595,-21.35755
17,is,is,is,18,5,3,Verse 1,2,7,4,4,4,"[18, 101, 160, 474]","[('is', 'VBZ')]",V,POSITIVE,0.9275,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9275,75,0.40540540540540543,4.347174,17.798752
18,back,back,back,19,5,3,Verse 1,2,8,1,1,1,[19],"[('back', 'RB')]",ADV,POSITIVE,0.9845,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9845,106,0.572972972972973,1.9995133,-3.9370909
19,with,with,with,20,5,3,Verse 1,2,9,7,7,7,"[20, 162, 207, 225, 299, 304, 489]","[('with', 'IN')]",PREP,POSITIVE,0.9826,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9826,102,0.5513513513513514,14.170618,13.704274
20,a,a,a,21,5,3,Verse 1,2,10,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9873,113,0.6108108108108108,1.9200169,24.746077
21,brand,brand,brand,22,5,3,Verse 1,2,11,1,1,1,[22],"[('brand', 'NN')]",N,POSITIVE,0.9971,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9971,158,0.8540540540540541,-7.5519576,-4.757768
22,new,new,new,23,5,3,Verse 1,2,12,1,1,1,[23],"[('new', 'JJ')]",ADJ,POSITIVE,0.9986,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9986,172,0.9297297297297298,-9.73983,-7.090332
23,invention,invention,invention,24,5,3,Verse 1,2,13,1,1,1,[24],"[('invention', 'NN')]",N,POSITIVE,0.9997,Ice is back with a brand new invention, ice is back with a brand new invention,POSITIVE,0.9993,0.9993,63,0.9402985074626866,0.9997,183,0.9891891891891892,-10.252513,-4.857061
24,Something,Something,something,25,6,3,Verse 1,3,14,1,1,1,[25],"[('something', 'NN')]",N,POSITIVE,0.9991,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9991,177,0.9567567567567568,7.2659297,-3.005289
25,grabs,grabs,grabs,26,6,3,Verse 1,3,15,1,1,1,[26],"[('grabs', 'NNS')]",N,POSITIVE,0.9936,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9936,135,0.7297297297297297,-0.006119697,0.2858776
26,a,a,a,27,6,3,Verse 1,3,16,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9873,113,0.6108108108108108,3.5941825,26.45748
27,hold,hold,hold,28,6,3,Verse 1,3,17,1,1,1,[28],"[('hold', 'NN')]",N,POSITIVE,0.9987,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9987,173,0.9351351351351351,-5.551973,5.2951856
28,of,of,of,29,6,3,Verse 1,3,18,5,5,5,"[29, 186, 321, 477, 580]","[('of', 'IN')]",PREP,POSITIVE,0.9193,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9193,74,0.4,17.507555,13.047181
29,me,me,me,30,6,3,Verse 1,3,19,2,2,2,"[30, 379]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9947,142,0.7675675675675676,-11.8633175,13.535922
30,tightly,tightly,tightly,31,6,3,Verse 1,3,20,1,1,1,[31],"[('tightly', 'RB')]",ADV,POSITIVE,0.9978,Something grabs a hold of me tightly, something grabs a hold of me tightly,POSITIVE,0.9969,0.9969,56,0.835820895522388,0.9978,164,0.8864864864864865,-1.1588635,0.44592512
31,Flow,Flow,flow,32,7,3,Verse 1,4,21,1,1,1,[32],"[('flow', 'NN')]",N,POSITIVE,0.9997,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9997,183,0.9891891891891892,-10.383902,-10.046255
32,like,like,like,33,7,3,Verse 1,4,22,9,9,9,"[33, 61, 72, 85, 183, 327, 458, 497, 501]","[('like', 'IN')]",PREP,POSITIVE,0.9911,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9911,124,0.6702702702702703,21.72837,-1.2747203
33,a,a,a,34,7,3,Verse 1,4,23,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9873,113,0.6108108108108108,2.940203,25.026085
34,harpoon,harpoon,harpoon,35,7,3,Verse 1,4,24,1,1,1,[35],"[('harpoon', 'NN')]",N,NEGATIVE,0.7385,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,-0.7385,49,0.2648648648648649,-18.30717,-13.132924
35,daily,daily,daily,36,7,3,Verse 1,4,25,1,1,1,[36],"[('daily', 'JJ')]",ADJ,POSITIVE,0.9933,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9933,132,0.7135135135135136,-2.7782733,-7.693557
36,and,and,and,37,7,3,Verse 1,4,26,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9708,89,0.4810810810810811,28.583076,-2.0611036
37,nightly,nightly,nightly,38,7,3,Verse 1,4,27,1,1,1,[38],"[('nightly', 'RB')]",ADV,POSITIVE,0.9889,Flow like a harpoon daily and nightly, flow like a harpoon daily and nightly,POSITIVE,0.9984,0.9984,60,0.8955223880597015,0.9889,117,0.6324324324324324,-2.8829308,-7.534701
38,"""Will","""Will","""will",39,8,3,Verse 1,5,28,1,1,1,[39],"[('will', 'MD')]",V,POSITIVE,0.9998,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.9998,184,0.9945945945945946,16.331648,0.22971228
39,it,it,it,40,8,3,Verse 1,5,29,13,13,13,"[5, 40, 105, 108, 130, 139, 394, 403, 437, 482, 518, 548, 557]","[('it', 'PRP')]",PRON,POSITIVE,0.9927,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.9927,129,0.6972972972972973,11.6083,-8.829917
40,ever,ever,ever,41,8,3,Verse 1,5,30,1,1,1,[41],"[('ever', 'RB')]",ADV,POSITIVE,0.997,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.997,157,0.8486486486486486,17.45237,-4.970681
41,"stop?""","stop?""","stop?""",42,8,3,Verse 1,5,31,1,1,1,[42],"[('stop', 'VB')]",V,NEGATIVE,0.9987,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,-0.9987,9,0.04864864864864865,-8.596718,3.0357502
42,Yo,Yo,yo,43,8,3,Verse 1,5,32,7,7,7,"[1, 43, 127, 273, 391, 545, 575]","[('yo', 'NN')]",N,POSITIVE,0.9966,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.9966,154,0.8324324324324325,-20.034931,9.845494
43,I,I,I,44,8,3,Verse 1,5,33,12,12,12,"[44, 57, 91, 196, 200, 247, 258, 275, 330, 335, 375, 536]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.9797,98,0.5297297297297298,12.810017,21.858229
44,don't,don't,don't,45,8,3,Verse 1,5,34,2,2,2,"[45, 119]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,-0.9883,27,0.14594594594594595,16.846401,-13.592428
45,know,know,know,46,8,3,Verse 1,5,35,3,3,3,"[46, 373, 436]","[('know', 'VB')]",V,POSITIVE,0.9948,"""Will it ever stop?"" Yo I don't know"," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-0.9657,24,0.3582089552238806,0.9948,143,0.772972972972973,-0.68472797,14.247992
46,Turn,Turn,turn,47,9,3,Verse 1,6,36,1,1,1,[47],"[('turn', 'NN')]",N,POSITIVE,0.9918,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9918,128,0.6918918918918919,-1.7034638,8.597886
47,off,off,off,48,9,3,Verse 1,6,37,1,1,1,[48],"[('off', 'IN')]",PREP,NEGATIVE,0.9975,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,-0.9975,15,0.08108108108108109,-6.2054667,12.388442
48,the,the,the,49,9,3,Verse 1,6,38,34,34,34,"[49, 55, 77, 99, 115, 117, 133, 158, 163, 168, 174, 177, 226, 234, 255, 266, 269, 309, 312, 314, 341, 351, 356, 365, 370, 383, 397, 429, 443, 453, 494, 520, 533, 551]","[('the', 'DT')]",DET,POSITIVE,0.9636,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9636,83,0.4486486486486487,9.035988,7.728059
49,lights,lights,lights,50,9,3,Verse 1,6,39,1,1,1,[50],"[('lights', 'NNS')]",N,POSITIVE,0.9985,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9985,171,0.9243243243243243,-6.6502647,-15.446919
50,and,and,and,51,9,3,Verse 1,6,40,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9708,89,0.4810810810810811,27.797506,-3.0042467
51,I'll,I'll,I'll,52,9,3,Verse 1,6,41,4,4,4,"[52, 128, 392, 546]","[('I', 'PRP'), (""'ll"", 'MD')]",MULT,POSITIVE,0.9997,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9997,183,0.9891891891891892,16.623213,-17.113817
52,glow,glow,glow,53,9,3,Verse 1,6,42,1,1,1,[53],"[('glow', 'NN')]",N,POSITIVE,0.9997,Turn off the lights and I'll glow, turn off the lights and I'll glow,POSITIVE,0.9996,0.9996,66,0.9850746268656716,0.9997,183,0.9891891891891892,-6.166497,-14.932504
53,To,To,to,54,10,3,Verse 1,7,43,14,14,14,"[54, 173, 176, 218, 240, 254, 265, 277, 354, 361, 447, 487, 528, 583]","[('to', 'TO')]",OTH,POSITIVE,0.9653,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9653,85,0.4594594594594595,-5.9542046,26.52297
54,the,the,the,55,10,3,Verse 1,7,44,34,34,34,"[49, 55, 77, 99, 115, 117, 133, 158, 163, 168, 174, 177, 226, 234, 255, 266, 269, 309, 312, 314, 341, 351, 356, 365, 370, 383, 397, 429, 443, 453, 494, 520, 533, 551]","[('the', 'DT')]",DET,POSITIVE,0.9636,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9636,83,0.4486486486486487,8.253862,6.2093596
55,"extreme,",extreme,extreme,56,10,3,Verse 1,7,45,1,1,1,[56],"[('extreme', 'NN')]",N,NEGATIVE,0.9097,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,-0.9097,42,0.22702702702702704,-6.452889,-2.2168553
56,I,I,I,57,10,3,Verse 1,7,46,12,12,12,"[44, 57, 91, 196, 200, 247, 258, 275, 330, 335, 375, 536]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9797,98,0.5297297297297298,12.920634,21.555658
57,rock,rock,rock,58,10,3,Verse 1,7,47,1,1,1,[58],"[('rock', 'NN')]",N,POSITIVE,0.9995,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9995,181,0.9783783783783784,-14.349682,3.2542448
58,a,a,a,59,10,3,Verse 1,7,48,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9873,113,0.6108108108108108,4.4847713,24.82789
59,mic,mic,mic,60,10,3,Verse 1,7,49,2,2,2,"[60, 534]","[('mic', 'NN')]",N,POSITIVE,0.9842,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9842,105,0.5675675675675675,4.2082796,-1.8530954
60,like,like,like,61,10,3,Verse 1,7,50,9,9,9,"[33, 61, 72, 85, 183, 327, 458, 497, 501]","[('like', 'IN')]",PREP,POSITIVE,0.9911,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9911,124,0.6702702702702703,21.099064,-1.0836195
61,a,a,a,62,10,3,Verse 1,7,51,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,0.9873,113,0.6108108108108108,2.6627243,25.901344
62,vandal,vandal,vandal,63,10,3,Verse 1,7,52,1,1,1,[63],"[('vandal', 'NN')]",N,NEGATIVE,0.9966,"To the extreme, I rock a mic like a vandal", to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-0.9947,16,0.23880597014925373,-0.9966,17,0.0918918918918919,-6.5290613,-9.487168
63,Light,Light,light,64,11,3,Verse 1,8,53,1,1,1,[64],"[('light', 'NN')]",N,POSITIVE,0.9997,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9997,183,0.9891891891891892,-6.6056705,-15.487389
64,up,up,up,65,11,3,Verse 1,8,54,3,3,3,"[65, 210, 380]","[('up', 'RB')]",ADV,POSITIVE,0.9992,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9992,178,0.9621621621621622,-15.60763,8.123654
65,a,a,a,66,11,3,Verse 1,8,55,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9873,113,0.6108108108108108,2.6671126,26.718294
66,stage,stage,stage,67,11,3,Verse 1,8,56,1,1,1,[67],"[('stage', 'NN')]",N,POSITIVE,0.9869,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9869,111,0.6,-17.154987,-7.338909
67,and,and,and,68,11,3,Verse 1,8,57,14,14,14,"[15, 37, 51, 68, 121, 167, 194, 204, 262, 302, 449, 468, 471, 484]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9708,89,0.4810810810810811,27.825994,-2.0581968
68,wax,wax,wax,69,11,3,Verse 1,8,58,1,1,1,[69],"[('wax', 'NN')]",N,POSITIVE,0.8034,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.8034,64,0.34594594594594597,-2.7992394,-12.73204
69,a,a,a,70,11,3,Verse 1,8,59,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9873,113,0.6108108108108108,3.851238,25.23696
70,chump,chump,chump,71,11,3,Verse 1,8,60,1,1,1,[71],"[('chump', 'NN')]",N,NEGATIVE,0.9982,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,-0.9982,13,0.07027027027027027,-14.49867,-18.207008
71,like,like,like,72,11,3,Verse 1,8,61,9,9,9,"[33, 61, 72, 85, 183, 327, 458, 497, 501]","[('like', 'IN')]",PREP,POSITIVE,0.9911,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9911,124,0.6702702702702703,21.613499,-1.4899158
72,a,a,a,73,11,3,Verse 1,8,62,30,30,30,"[21, 27, 34, 59, 62, 66, 70, 73, 86, 93, 102, 125, 184, 202, 205, 208, 214, 260, 300, 305, 328, 389, 424, 459, 475, 478, 498, 502, 514, 543]","[('a', 'DT')]",DET,POSITIVE,0.9873,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9873,113,0.6108108108108108,4.621205,25.752287
73,candle,candle,candle,74,11,3,Verse 1,8,63,1,1,1,[74],"[('candle', 'NN')]",N,POSITIVE,0.9941,Light up a stage and wax a chump like a candle, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,-0.5317,36,0.5373134328358209,0.9941,138,0.745945945945946,-3.3998282,-12.394072
74,"Dance,",Dance,dance,75,12,3,Verse 1,9,64,1,1,1,[75],"[('dance', 'NN')]",N,POSITIVE,0.9993,"Dance, rush the speaker that booms", dance rush the speaker that booms,POSITIVE,0.9995,0.9995,65,0.9701492537313433,0.9993,179,0.9675675675675676,-17.072832,-10.199867
75,rush,rush,rush,76,12,3,Verse 1,9,65,1,1,1,[76],"[('rush', 'NN')]",N,NEGATIVE,0.996,"Dance, rush the speaker that booms", dance rush the speaker that booms,POSITIVE,0.9995,0.9995,65,0.9701492537313433,-0.996,19,0.10270270270270271,-4.9457793,-11.562008
