,line_original,line_index_in_song,line_classified,line_label,line_score,tsne_x,tsne_y
21,"Just the two of us, (Just the two of us)",22, just the two of us just the two of us,POSITIVE,0.9479,130.87102,-66.857056
22,"Just the two of us, building castles in the sky",23, just the two of us building castles in the sky,POSITIVE,0.9989,114.82367,-19.901642
23,"Just the two of us, you and I",24, just the two of us you and I,POSITIVE,0.9997,105.99573,-56.792923
24,"Five years old, bringin comedy",25, five years old bringin comedy,POSITIVE,0.9847,-62.029854,-20.590052
25,"Everytime I look at you I think man, a little me",26, everytime I look at you I think man a little me,POSITIVE,0.9991,-55.893745,-0.75620973
26,"Just like me, wait an' see, gonna be tall",27, just like me wait and see gonna be tall,POSITIVE,0.999,-48.766373,57.527
27,Makes me laugh cause you got your dads ears an all,28, makes me laugh because you got your dads ears and all,POSITIVE,0.9997,-48.875996,36.641384
28,"Sometimes I wonder, what you gonna be",29, sometimes I wonder what you gonna be,POSITIVE,0.9986,-15.62279,75.8877
29,"A general, a doctor, maybe a MC",30, a general a doctor maybe a mc,POSITIVE,0.8319,-84.36998,-59.917366
30,"Haha, I wanna kiss you all the time",31, haha I wanna kiss you all the time,POSITIVE,0.9984,14.478992,51.245464
31,"But I will test that butt when you cut outta line, true that",32, but I will test that butt when you cut outta line true that,POSITIVE,0.69,-51.75433,17.030159
32,Uh-uh-uh why you do that?,33, uh-uh-uh why you do that,NEGATIVE,0.9911,-35.12619,101.23976
33,"I try to be a tough dad, but you be makin me laugh",34, I try to be a tough dad but you be making me laugh,POSITIVE,0.9988,-34.43919,8.685431
34,"Crazy joy, when I see the eyes of my baby boy",35, crazy joy when I see the eyes of my baby boy,POSITIVE,0.9999,40.80411,12.59574
35,"I pledge to you, I will always do",36, I pledge to you I will always do,POSITIVE,0.9992,-111.76154,-40.39264
36,"Everything I can, show you how to be a man",37, everything I can show you how to be a man,POSITIVE,0.9997,-13.159024,-11.655036
37,"Dignity, integrity, honor an'",38, dignity integrity honor and,POSITIVE,0.9998,-13.218656,-63.80277
38,"I don't mind if you lose, long as you came with it",39, I don't mind if you lose long as you came with it,POSITIVE,0.6585,-16.229239,28.371145
39,"An you can cry, ain't no shame in it",40, and you can cry ain't no shame in it,POSITIVE,0.9167,-21.800587,48.8339
40,It didn't work out with me an your mom,41, it didn't work out with me and your mom,NEGATIVE,0.9997,2.5803435,99.42131
41,"But yo, push come to shove, you was conceived in love",42, but yo push come to shove you was conceived in love,POSITIVE,0.8816,-48.746403,-32.230137
42,"So if the world attacks, and you slide off track",43, so if the world attacks and you slide off track,NEGATIVE,0.9971,-54.483475,80.856636
43,"Remember one fact, I got your back",44, remember one fact I got your back,NEGATIVE,0.9741,-66.1333,20.38653
44,"Just the two of us, we can make it if we try",45, just the two of us we can make it if we try,POSITIVE,0.9997,72.59654,-10.416368
45,"Just the two of us, (Just the two of us)",46, just the two of us just the two of us,POSITIVE,0.9479,115.75118,-73.80721
46,"Just the two of us, building castles in the sky",47, just the two of us building castles in the sky,POSITIVE,0.9989,119.371,-6.0938873
47,"Just the two of us, you and I",48, just the two of us you and I,POSITIVE,0.9997,95.77992,-46.070477
48,It's a full-time job to be a good dad,49, it's a full-time job to be a good dad,POSITIVE,0.9989,-1.437112,-28.953476
49,You got so much more stuff than I had,50, you got so much more stuff than I had,POSITIVE,0.9973,-33.169445,27.887766
50,I gotta study just to keep with the changin times,51, I gotta study just to keep with the changing times,POSITIVE,0.9152,-98.03524,54.28776
51,101 Dalmations on your CD-ROM,52, 101 dalmations on your cd-rom,NEGATIVE,0.9601,31.47489,-10.0260315
52,See me-I'm tyin to pretend I know,53, see me I'm trying to pretend I know,NEGATIVE,0.9945,-25.211025,-26.432856
53,On my PC where that CD go,54, on my pc where that cd go,NEGATIVE,0.9854,-73.26309,61.58079
54,"But yo, ain't nothin promised, one day I'll be gone",55, but yo ain't nothing promised one day I'll be gone,NEGATIVE,0.9844,-10.776701,58.427193
55,"Feel the strife, but trust life does go on",56, feel the strife but trust life does go on,POSITIVE,0.9953,-39.28745,-47.860973
56,"But just in case, it's my place to impart",57, but just in case it's my place to impart,POSITIVE,0.9657,16.64534,-46.02869
57,One day some girl's gonna break your heart,58, one day some girl's gonna break your heart,POSITIVE,0.9951,6.8270855,72.80219
58,And ooh ain't no pain like from the opposite sex,59, and ooh ain't no pain like from the opposite sex,POSITIVE,0.9909,-34.85354,46.742313
59,"Gonna hurt bad, but don't take it out on the next, son",60, gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954,-31.505606,64.06459
60,Throughout life people will make you mad,61, throughout life people will make you mad,NEGATIVE,0.9937,-3.053298,2.2045941
61,Disrespect you and treat you bad,62, disrespect you and treat you bad,NEGATIVE,0.997,-3.767857,-86.61962
62,Let God deal with the things they do,63, let god deal with the things they do,NEGATIVE,0.9065,8.512111,-10.819596
63,Cause hate in your heart will consume you too,64, because hate in your heart will consume you too,NEGATIVE,0.9677,2.5020404,16.16084
64,"Always tell the truth, say your prayers",65, always tell the truth say your prayers,POSITIVE,0.9981,-58.722954,-74.22704
65,"Hold doors, pull out chairs, easy on the swears",66, hold doors pull out chairs easy on the swears,NEGATIVE,0.9656,-59.711998,-47.206337
66,You're living proof that dreams do come true,67, you're living proof that dreams do come true,POSITIVE,0.9996,19.170414,9.518865
67,I love you and I'm here for you,68, I love you and I'm here for you,POSITIVE,0.9999,34.75734,39.386143
68,"Just the two of us, we can make it if we try",69, just the two of us we can make it if we try,POSITIVE,0.9997,76.976006,-24.278246
69,"Just the two of us, (Just the two of us)",70, just the two of us just the two of us,POSITIVE,0.9479,101.06408,-82.19394
70,"Just the two of us, building castles in the sky",71, just the two of us building castles in the sky,POSITIVE,0.9989,129.12366,-17.293085
71,"Just the two of us, you and I",72, just the two of us you and I,POSITIVE,0.9997,90.535835,-61.602833
72,"(This is a good song Dad, how much am I gettin paid for this?)",73, this is a good song dad how much am I getting paid for this,POSITIVE,0.9994,-35.368603,-9.67288
